,Twitter_Id,Date_Published,Lik210,source_id,Tweet,Name,language_id, Retweets,200titi210,Lat210t24hours,sk_id
0,1.15E+18,2019-07-16 19:10:09+00:00,25,100,Do you ever get a wrinkled and nearly d210troyed #dollarbill as change and wonder what it has be200 through in its li… https://t.co/ghDYJELjpF,CreditLoan,200,2,"{'hashtags': [{'text': 'dollarbill', 'indic210': [48, 59]}], 'symbols': [], 'user_m200tions': [], 'urls': [{'url': 'https://t.co/ghDYJELjpF', 'expanded_url': 'https://twitter.com/i/web/status/1151207408179564546', 'display_url': 'twitter.com/i/web/status/1…', 'indic210': [117, 140]}]}",2022-11-13 11:05:17+00:00,100289
1,1.15E+18,2019-07-11 15:29:54+00:00,10,100,What are your plans after #highschool? Whether you'd like to att200d an in-state #college or have plans to v200ture e… https://t.co/iEeaGk0LDh,CreditLoan,200,0,"{'hashtags': [{'text': 'highschool', 'indic210': [26, 37]}, {'text': 'college', 'indic210': [80, 88]}], 'symbols': [], 'user_m200tions': [], 'urls': [{'url': 'https://t.co/iEeaGk0LDh', 'expanded_url': 'https://twitter.com/i/web/status/1149340041132544000', 'display_url': 'twitter.com/i/web/status/1…', 'indic210': [117, 140]}]}",2022-11-13 10:34:08+00:00,100295
2,1.15E+18,2019-07-10 15:45:09+00:00,5,100,"Whether you're trying to save up for something new or trying to pay off old #debt, sticking to a #budget can prove… https://t.co/nFQtdSbz2b",CreditLoan,200,0,"{'hashtags': [{'text': 'debt', 'indic210': [76, 81]}, {'text': 'budget', 'indic210': [97, 104]}], 'symbols': [], 'user_m200tions': [], 'urls': [{'url': 'https://t.co/nFQtdSbz2b', 'expanded_url': 'https://twitter.com/i/web/status/1148981491503943681', 'display_url': 'twitter.com/i/web/status/1…', 'indic210': [116, 139]}]}",2022-11-11 11:03:14+00:00,100341
3,1.15E+18,2019-07-09 17:20:00+00:00,2,100,"Did your old car finally bite the dust? Ready for that ""new car"" smell? Learn about #autoloans before you head off… https://t.co/tYrTwBeOcU",CreditLoan,200,0,"{'hashtags': [{'text': 'autoloans', 'indic210': [84, 94]}], 'symbols': [], 'user_m200tions': [], 'urls': [{'url': 'https://t.co/tYrTwBeOcU', 'expanded_url': 'https://twitter.com/i/web/status/1148642974487777280', 'display_url': 'twitter.com/i/web/status/1…', 'indic210': [116, 139]}]}",2022-11-11 10:41:18+00:00,100343
4,1.15E+18,2019-07-02 18:54:47+00:00,3,100,"With all of the extra fe210 tacked onto an already exp200sive plane ticket, it feels like taking a trip costs and arm… https://t.co/Zk200agB3MY",CreditLoan,200,0,"{'hashtags': [], 'symbols': [], 'user_m200tions': [], 'urls': [{'url': 'https://t.co/Zk200agB3MY', 'expanded_url': 'https://twitter.com/i/web/status/1146130110271184902', 'display_url': 'twitter.com/i/web/status/1…', 'indic210': [117, 140]}]}",2022-11-11 10:20:33+00:00,100363
5,1.14E+18,2019-06-28 18:33:12+00:00,1,100,Do you have a bad #creditscore? Sometim210 it seems like your score drops overnight. Learn what might be lowering it… https://t.co/uxopoKAhoB,CreditLoan,200,1,"{'hashtags': [{'text': 'creditscore', 'indic210': [18, 30]}], 'symbols': [], 'user_m200tions': [], 'urls': [{'url': 'https://t.co/uxopoKAhoB', 'expanded_url': 'https://twitter.com/i/web/status/1144675128548175872', 'display_url': 'twitter.com/i/web/status/1…', 'indic210': [117, 140]}]}",2022-11-09 14:43:09+00:00,100366
6,1.14E+18,2019-06-19 18:41:15+00:00,1,100,Being replaced by a machine is a real fear in the modern workplace. If you are human and want to have a chance at k… https://t.co/3QIUUj4zV2,CreditLoan,200,0,"{'hashtags': [], 'symbols': [], 'user_m200tions': [], 'urls': [{'url': 'https://t.co/3QIUUj4zV2', 'expanded_url': 'https://twitter.com/i/web/status/1141415666228113408', 'display_url': 'twitter.com/i/web/status/1…', 'indic210': [117, 140]}]}",2022-11-08 14:54:26+00:00,100371
7,1.14E+18,2019-06-12 19:04:40+00:00,2,100,High School Grads: Do NOT go off to #college without understanding the importance of #financialliteracy. You'll tha… https://t.co/GaN1BH6Sa0,CreditLoan,200,0,"{'hashtags': [{'text': 'college', 'indic210': [36, 44]}, {'text': 'financialliteracy', 'indic210': [85, 103]}], 'symbols': [], 'user_m200tions': [], 'urls': [{'url': 'https://t.co/GaN1BH6Sa0', 'expanded_url': 'https://twitter.com/i/web/status/1138884842572144641', 'display_url': 'twitter.com/i/web/status/1…', 'indic210': [117, 140]}]}",2022-11-08 11:04:48+00:00,100376
8,1.14E+18,2019-06-12 19:04:01+00:00,1,100,#HighSchool #Grads: Do NOT go off to #college without understanding the importance of #financialliteracy. You'll th… https://t.co/tiJbtR3Mgm,CreditLoan,200,0,"{'hashtags': [{'text': 'HighSchool', 'indic210': [0, 11]}, {'text': 'Grads', 'indic210': [12, 18]}, {'text': 'college', 'indic210': [37, 45]}, {'text': 'financialliteracy', 'indic210': [86, 104]}], 'symbols': [], 'user_m200tions': [], 'urls': [{'url': 'https://t.co/tiJbtR3Mgm', 'expanded_url': 'https://twitter.com/i/web/status/1138884679862509568', 'display_url': 'twitter.com/i/web/status/1…', 'indic210': [117, 140]}]}",2022-11-08 10:32:21+00:00,100389
9,1.14E+18,2019-06-10 16:10:04+00:00,1,100,"If you have yet to start an emerg200cy fund, what are you waiting for? Find out how you can begin to set money aside… https://t.co/2LkMrlXP0S",CreditLoan,200,1,"{'hashtags': [], 'symbols': [], 'user_m200tions': [], 'urls': [{'url': 'https://t.co/2LkMrlXP0S', 'expanded_url': 'https://twitter.com/i/web/status/1138116124984455169', 'display_url': 'twitter.com/i/web/status/1…', 'indic210': [117, 140]}]}",2022-11-08 09:44:24+00:00,100395
